8d23c65	Sarm	2026-05-18	Merge pull request #629 from puj-course/feature-sarm-m
9f6b0d9	Sarm-m	2026-05-18	docs(report): limpiar entrega final y reforzar evidencia de rubrica. Closes #618.
10ea1c2	Sarm	2026-05-17	Merge pull request #627 from puj-course/feature-sarm-m
168bfc6	Sarm-m	2026-05-17	arreglar docs
b5a360d	Sarm-m	2026-05-17	entrega infome. Closes #618
0126d8f	Sarm-m	2026-05-17	entrega infome. Closes #618
1064cc5	Sarm-m	2026-05-17	agregar imaganes y latex . Closes #618
c7cd81f	Sarm-m	2026-05-17	documentacion
4b3f9c3	Sarm	2026-05-17	Merge pull request #626 from puj-course/feature-sarm-m
f5687c5	Sarm-m	2026-05-17	Merge branch 'develop' into feature-sarm-m
4211c21	Sarm-m	2026-05-17	rename docs, and images of report
b821ef5	Juan Sebastian Vargas Dicelys	2026-05-16	Add files via upload
65887e3	Juan Sebastian Vargas Dicelys	2026-05-16	Delete Docs/Agile/evidencias_finales/07_agil_postmortem_trazabilidad.md
6a17fc6	Sarm-m	2026-05-15	docs(evidence): anexar capturas finales de entrega tecnica. Closes #618.
e5c07e2	Sarm	2026-05-15	Merge pull request #625 from puj-course/develop
9ee8301	Sarm	2026-05-15	Merge pull request #623 from puj-course/feature-sarm-m
735c1fa	Sarm-m	2026-05-15	fix(sms): corregir configuracion de verificacion por mensajeria. Closes #622
f0e90b2	Sarm-m	2026-05-15	docs(evaluation): consolidar paquete final de evidencia tecnica. Closes #622
f6a9062	Sarm-m	2026-05-15	docs(cicd): documentar flujo de integracion y despliegue continuo. Closes #621
c1fd64b	Sarm-m	2026-05-15	chore(docker): configurar red explicita para despliegue local. Closes #620
24afa71	Sarm-m	2026-05-15	test(coverage): consolidar pruebas y metricas de calidad. Closes #619
d2ef676	Juan Sebastian Vargas Dicelys	2026-05-14	Update reporte_final_sprints.md
7a1d2d0	Juan Sebastian Vargas Dicelys	2026-05-14	Update reporte_final_sprints.md
fd4da29	Juan Sebastian Vargas Dicelys	2026-05-14	Update reporte_final_sprints.md
b81234d	Juan Sebastian Vargas Dicelys	2026-05-14	Update reporte_final_sprints.md
f5bfd63	Juan Sebastian Vargas Dicelys	2026-05-14	Update reporte_final_sprints.md
a54f91f	Sarm	2026-05-14	Merge pull request #603 from puj-course/develop
b6716a6	Sarm	2026-05-14	Merge branch 'main' into develop
6973c51	Sarm	2026-05-14	imagen sonar
aaed26c	Juan Sebastian Vargas Dicelys	2026-05-14	Update 04_despliegue_docker_ci_cd.md
72fb7ae	Juan Sebastian Vargas Dicelys	2026-05-14	Update 04_despliegue_docker_ci_cd.md
6b9f3bb	Juan Sebastian Vargas Dicelys	2026-05-14	evidencias pendientes de Despliegue Docker y CI/CD
9c2affa	samuelfl680	2026-05-14	Merge pull request #602 from puj-course/feature-sarm-m
8322a2b	Sarm-m	2026-05-14	Fix Vite config import typo
6aa2eb3	Sarm-m	2026-05-14	Fix Docker env loading for auth and database
c8e6e8d	Sarm	2026-05-14	Replace placeholder values in .env file , colocae credenciales
2aaa21f	Sarm-m	2026-05-14	 colocar crednciales
2b20eb5	Sarm	2026-05-14	Merge pull request #601 from puj-course/feature-sarm-m
245bbfc	unknown	2026-05-14	docs: prepare final rubric evidence package.
57aebd7	Sarm-m	2026-05-14	fixes code. Closes #556
e6946b5	solonlosada2006	2026-05-13	corrigiendo todo
7275816	solonlosada2006	2026-05-13	añadiendo credenciales públicas
cfbf709	samuelfl680	2026-05-13	Add environment variables for database and email
3952f8d	samuelfl680	2026-05-13	Merge pull request #600 from puj-course/feature-Slosada
bd8a586	solonlosada2006	2026-05-13	Update docker_ci_cd.yml
f67d30d	solonlosada2006	2026-05-13	Update pipeline_hu454_auth_ci_cd.yml
9fd7d33	solonlosada2006	2026-05-13	añadiendo mensajes para verificación de página
98c074a	solonlosada2006	2026-05-13	Update and rename main.yml to notify_discord.yml
fb46b6e	solonlosada2006	2026-05-13	cd_entrega.yml
aedcf75	solonlosada2006	2026-05-13	docker_ci_cd.yml
0fdaa25	solonlosada2006	2026-05-13	Notify_discord.yml
81e71d6	juansebastianvd	2026-05-13	docs: consolidar reporte final de metodologías ágiles y postmortem (Closes #595)
537f8a7	Juan Sebastian Vargas Dicelys	2026-05-13	Update reporte_final_sprints.md
c6a0d66	Sarm	2026-05-13	Merge pull request #588 from puj-course/develop
daa807e	Sarm-m	2026-05-13	refactor(metrics): reducir duplicacion reportada por sonar
d76cbf4	Sarm-m	2026-05-13	ci(sonar): evitar timeout de quality gate en scanner
c7dc7b4	Sarm-m	2026-05-13	Merge remote-tracking branch 'origin/main' into develop
b220386	Sarm-m	2026-05-13	feat(qa): reforzar metricas de calidad y despliegue docker
557a446	Sarm	2026-05-13	Merge pull request #586 from puj-course/feature-samuelfl680
7b11dbf	Sarm	2026-05-13	Merge pull request #585 from puj-course/feature-samuelfl680
163e647	juserora	2026-05-13	docs: mejoras para evaluacion final sin SMS
3f5b71b	juserora	2026-05-12	test: expand RTM alert adapter tests
f2ceebe	Juserora	2026-05-12	Merge pull request #587 from puj-course/feature-juserora
2e14c75	samuelfl680	2026-05-12	ci: corregir sintaxis YAML de omisiones en workflows
99722e7	juserora	2026-05-12	resolve merge conflicts from main: dark mode, onboarding, vite test config
18ff027	samuelfl680	2026-05-12	ci: evitar skip de publicacion DockerHub en PR
4b53156	samuelfl680	2026-05-12	ci: evitar skips en workflows y deploys HU-454
243e9d4	samuelfl680	2026-05-12	ci: ampliar triggers de workflows para evitar skips
cf44861	samuelfl680	2026-05-12	docs: documentar despliegue docker y sanitizar env examples
0e5f7d4	Juan Sebastian Vargas Dicelys	2026-05-12	Update reporte_final_sprints.md
fe9c90f	Juan Sebastian Vargas Dicelys	2026-05-12	Update reporte_final_sprints.md
8d4546d	Juan Sebastian Vargas Dicelys	2026-05-12	Update reporte_final_sprints.md
25f2575	Juan Sebastian Vargas Dicelys	2026-05-12	Merge pull request #583 from puj-course/feature-Vargas-J
051a7e8	juansebastianvd	2026-05-12	docs: eliminar métrica de velocidad en pts del resumen de sprints
810250e	Juan Sebastian Vargas Dicelys	2026-05-12	Merge pull request #582 from puj-course/feature-Vargas-J
56df20a	juansebastianvd	2026-05-12	docs: actualizar reporte final con hitos, sprints 1-9 y retrospectivas estrella de mar
738ac24	Sarm	2026-05-12	Merge pull request #581 from puj-course/develop
c5aa943	Sarm	2026-05-12	Merge pull request #580 from puj-course/feature-sarm-m
48e11ec	Sarm-m	2026-05-12	ci(sonar): ajustar analisis en ramas y pull requests. Refs #556.
f530b0f	Sarm-m	2026-05-12	ci(sonar): ejecutar analisis en pushes y pull requests. Refs #556.
d3f73bd	Sarm	2026-05-12	Merge pull request #579 from puj-course/feature-sarm-m
9c9e4a1	Sarm-m	2026-05-12	fix(reliability): corregir accesibilidad y condicional redundante. Refs #556.
722bfef	Sarm	2026-05-12	release: integrar ajustes de sonarcloud cobertura y calidad en main. Refs #556.
f92738f	Sarm	2026-05-12	Merge pull request #577 from puj-course/feature-sarm-m
37332e4	Sarm-m	2026-05-12	fix(reliability): agregar proptypes y asociar labels en modales. Refs #556.
4f46742	Sarm-m	2026-05-12	fix(security): reemplazar regex sensibles en autenticacion y api. Refs #556.
46e4048	Sarm-m	2026-05-12	chore(sonar): ajustar alcance defendible de cobertura y duplicacion. Refs #556.
e588ca8	Sarm	2026-05-12	Merge pull request #576 from puj-course/develop
16429bf	Sarm	2026-05-12	Merge pull request #575 from puj-course/feature-sarm-m
2f202c8	Sarm-m	2026-05-12	fix(sonar): usar clases de digitos concisas en formatos colombianos. Refs #556.
7b5aa7f	Sarm	2026-05-12	Merge pull request #572 from puj-course/feature-sarm-m
8d71ddd	Sarm-m	2026-05-12	test(frontend): aumentar cobertura de adaptadores y utilidades
68907b9	Sarm	2026-05-12	Update SonarCloud metrics and quality gate status
660c7e9	Juan Sebastian Vargas Dicelys	2026-05-12	Merge pull request #570 from puj-course/feature-Vargas-J
5e5fac7	Sarm	2026-05-12	release: integrar metricas de calidad y validaciones del sprint 13 en main. Closes #556. Closes #557. Closes #558.
5ee75db	juansebastianvd	2026-05-12	docs: Integrar datos reales de GitHub en análisis de participación
29305eb	Sarm	2026-05-12	feat(metrics): automatizar metricas propias de calidad y validar quality gate. Closes #557. Closes #558.
d318a42	Sarm-m	2026-05-12	ci(sonar): eliminar workflow duplicado de analisis sonar. Closes #557.
85daa6d	Sarm-m	2026-05-12	test(metrics): reforzar cobertura de metricas de calidad para sonarcloud
cf976f0	Sarm-m	2026-05-12	docs(qa): actualizar evidencia de metricas y sonarcloud. Refs #556.
0063cb9	Sarm-m	2026-05-12	fix(sonar): corregir observaciones de calidad en codigo nuevo. Closes #557.
4f74125	Sarm-m	2026-05-12	test(metrics): aumentar cobertura de metricas propias de calidad. Closes #558.
0d2acf8	Sarm-m	2026-05-12	Merge branch 'main' into feature-sarm-m
3ab3fcb	Juan Pablo Arias Buitrago	2026-05-12	Create SONAR.yml
6f9b35c	Sarm	2026-05-12	Merge pull request #561 from puj-course/feature-sarm-m
ce04789	Sarm-m	2026-05-12	merge(develop): integrar develop y resolver conflictos de reportes
fa4af19	Sarm-m	2026-05-12	fix code sonar
0cd37d6	Sarm-m	2026-05-12	fix(reportes): resolver conflicto entre modo oscuro y metricas de calidad
f87f2d5	Sarm-m	2026-05-12	test(metrics): validar y documentar metricas propias de calidad. Closes #558.
79edfb9	Sarm-m	2026-05-12	feat(metrics): automatizar metricas propias de calidad en reportes. Closes #557.
5d2ae63	samuelfl680	2026-05-12	Merge pull request #559 from puj-course/feature-Slosada
f468247	solonlosada2006	2026-05-11	actualizando validación del RUNT. Closes #512
a088cfd	solonlosada2006	2026-05-11	reemplazando localstorage por una API
09b0b0e	solonlosada2006	2026-05-11	añadiendo esquema de historial de validación. Closes #510
6794cdc	samuelfl680	2026-05-11	Merge pull request #555 from puj-course/develop
26f18df	samuelfl680	2026-05-11	Merge pull request #554 from puj-course/feature-samuelfl680
0a63ba9	samuelfl680	2026-05-11	docs: add detailed comments for auth and profile flows
868f359	samuelfl680	2026-05-11	Merge pull request #550 from puj-course/develop
7163b96	Sarm	2026-05-11	Merge pull request #549 from puj-course/feature-sarm-m
ed87590	Sarm-m	2026-05-11	fixes code. Closes #492
